,couple,attribute,comparison,t_stat,p_value,test_type,f_stat
57,couple4,loudness,male_aroused_vs_female_aroused,-2.0882604637132993,0.03702433430262779,t_test,
58,couple4,jitter,male_aroused_vs_female_aroused,-0.290217334334705,0.7717094888756144,t_test,
59,couple4,shimmer,male_aroused_vs_female_aroused,-1.020638562266257,0.3076696959611849,t_test,
60,couple4,speechrate,male_aroused_vs_female_aroused,-24.215287666737844,1.1160627892764788e-101,t_test,
61,couple4,timbre,male_aroused_vs_female_aroused,-3.1049034115798957,0.0019562739121329973,t_test,
62,couple4,energy,male_aroused_vs_female_aroused,-6.113010447410347,1.405759438934586e-09,t_test,
63,couple4,alignment,male_aroused_vs_female_aroused,-0.8346199631490252,0.40412887166922085,t_test,
64,couple5,pitch,male_normal_vs_female_normal,-7.581505753833408,2.2880172935264252e-08,t_test,
65,couple5,loudness,male_normal_vs_female_normal,-0.12304408667939283,0.9025692882619296,t_test,
66,couple5,jitter,male_normal_vs_female_normal,-0.216088060357398,0.8297886058177306,t_test,
67,couple5,shimmer,male_normal_vs_female_normal,-0.23472484480091294,0.8153766503720509,t_test,
68,couple5,speechrate,male_normal_vs_female_normal,-3.7323401643072085,0.000513821283325109,t_test,
69,couple5,timbre,male_normal_vs_female_normal,-2.561889169821617,0.014447270109823334,t_test,
70,couple5,energy,male_normal_vs_female_normal,-5.085453498334328,5.314600389841322e-06,t_test,
71,couple5,alignment,male_normal_vs_female_normal,-0.7597086854900189,0.45097255225905186,t_test,
72,couple5,pitch,male_aroused_vs_female_aroused,-1.7684316082772344,0.07729396467221022,t_test,
73,couple5,loudness,male_aroused_vs_female_aroused,0.9711270319530013,0.33172110976583,t_test,
74,couple5,jitter,male_aroused_vs_female_aroused,-0.6231390867970201,0.5333337278882396,t_test,
75,couple5,shimmer,male_aroused_vs_female_aroused,1.3176140406400065,0.18793095951069452,t_test,
76,couple5,speechrate,male_aroused_vs_female_aroused,-18.144768989839918,6.244551521484711e-64,t_test,
77,couple5,timbre,male_aroused_vs_female_aroused,3.0306726857722364,0.0025020192269488467,t_test,
78,couple5,energy,male_aroused_vs_female_aroused,4.129346370925106,3.947907498552012e-05,t_test,
79,couple5,alignment,male_aroused_vs_female_aroused,0.2656195070139955,0.7905865908869442,t_test,
80,couple6,pitch,male_normal_vs_female_normal,-7.334691819522551,1.4488286126060367e-08,t_test,
81,couple6,loudness,male_normal_vs_female_normal,-1.2517563920564705,0.21757890392517348,t_test,
82,couple6,jitter,male_normal_vs_female_normal,-0.14990519722322435,0.8815473304218919,t_test,
83,couple6,shimmer,male_normal_vs_female_normal,0.28659205010789907,0.7758112664118318,t_test,
84,couple6,speechrate,male_normal_vs_female_normal,-14.452373131184421,4.6836712835988345e-18,t_test,
85,couple6,timbre,male_normal_vs_female_normal,-0.8092070364727841,0.42349362623274944,t_test,
