,mean,std,min,max
jitterLocal_de_range,0.3275217608695653,0.11270482339490637,0.2103435,0.5804819
jitterLocal_de_maxPos,293.0,156.16017418023074,6.0,499.0
jitterLocal_de_minPos,259.3478260869565,142.881899323008,3.0,483.0
jitterLocal_de_maxameandist,0.16457119521739133,0.0546569496418648,0.09701999,0.2883656
jitterLocal_de_minameandist,0.16295055652173912,0.05968077337999556,0.106602,0.2929347
jitterLocal_de_linregc1,-1.4875213478260883e-07,3.3026162135156828e-06,-6.203622e-06,9.295747e-06
jitterLocal_de_linregc2,5.204256086956522e-05,0.000862580825612682,-0.002521201,0.001860631
jitterLocal_de_linregerrA,0.023267347826086957,0.00645055113882524,0.01138557,0.043389
jitterLocal_de_linregerrQ,0.0013075343173913044,0.0005945111028455808,0.0005130344,0.003214981
jitterLocal_de_qregc1,-3.6920994347826092e-09,3.2490065801075864e-08,-7.215692e-08,6.340321e-08
jitterLocal_de_qregc2,1.6936056956521736e-06,1.705852993841112e-05,-2.853685e-05,4.530205e-05
jitterLocal_de_qregc3,-0.00010087304869565212,0.0018835047559912766,-0.005509724,0.002490281
jitterLocal_de_qregerrA,11.63977447826087,3.22506449126642,5.706521,21.68908
jitterLocal_de_qregerrQ,0.6535895217391304,0.2971734012637387,0.2564052,1.607468
jitterLocal_de_centroid,0.5151914826086956,0.06658262578893748,0.3868032,0.7119438
jitterLocal_de_variance,0.0013077521347826088,0.0005947255756485198,0.0005132651,0.003215783
jitterLocal_de_stddev,0.03540507826086957,0.007529790262019043,0.02265535,0.05670787
jitterLocal_de_skewness,-0.10083371739130435,0.13656344530221765,-0.4466236,0.1917263
jitterLocal_de_kurtosis,7.021699391304348,2.7309887847826326,3.306679,12.29134
jitterLocal_de_quartile1,-0.012735265017391306,0.00593451995038901,-0.03175258,-0.0007774774
jitterLocal_de_quartile2,0.0002533555886956522,0.00027555568932592634,0.0,0.0009245033
jitterLocal_de_quartile3,0.013950445130434783,0.007263363016174878,0.001395696,0.03818297
jitterLocal_de_upleveltime25,0.9641739130434785,0.0298901810784275,0.88,0.996
jitterLocal_de_downleveltime25,0.035826086956521744,0.029890181078427502,0.004,0.12
jitterLocal_de_upleveltime50,0.5019999999999999,0.22109150717622453,0.212,0.848
jitterLocal_de_downleveltime50,0.4980000000000001,0.22109150717622456,0.152,0.788
jitterLocal_de_upleveltime75,0.024260869565217395,0.017901796231115895,0.002,0.072
jitterLocal_de_downleveltime75,0.9757391304347824,0.017901796231115895,0.928,0.998
jitterLocal_de_upleveltime90,0.004956521739130436,0.003240065387521527,0.002,0.012
jitterLocal_de_downleveltime90,0.9950434782608698,0.003240065387521529,0.988,0.998
jitterLocal_de_risetime,0.4882809173913043,0.04666531487536494,0.3026052,0.5450902
jitterLocal_de_falltime,0.48671256956521747,0.046326464514832466,0.2905812,0.5330662
jitterLocal_de_leftctime,0.4933647695652174,0.049740250629723086,0.2851406,0.5361446
jitterLocal_de_rightctime,0.4883010217391304,0.0434768605018594,0.311245,0.5361446
jitterLocal_de_duration,500.0,0.0,500.0,500.0
jitterDDP_de_max,0.1470127091304348,0.04010124488487936,0.08487377,0.2115552
jitterDDP_de_min,-0.14647148391304346,0.05421690913808672,-0.2395138,-0.07550116
jitterDDP_de_range,0.2934842043478261,0.09124552647999432,0.1603749,0.4510691
jitterDDP_de_maxPos,291.4782608695652,160.8787995426759,1.0,497.0
jitterDDP_de_minPos,267.69565217391306,143.35824001513535,0.0,477.0
jitterDDP_de_maxameandist,0.14698667173913044,0.040148392766677435,0.08434202,0.2116189
jitterDDP_de_minameandist,0.14649753652173914,0.05416218863960873,0.07603291,0.2395807
jitterDDP_de_linregc1,3.7667253217391344e-08,2.8980409654953613e-06,-6.05786e-06,4.827422e-06
jitterDDP_de_linregc2,1.665229000000002e-05,0.0007216918018085898,-0.001279153,0.001582695
jitterDDP_de_linregerrA,0.019244384260869565,0.004755117376776818,0.008503338,0.03218096
jitterDDP_de_linregerrQ,0.0009360871565217394,0.0003689355192840044,0.0002790108,0.001898823
jitterDDP_de_qregc1,-9.901466956521744e-10,3.1282779028671247e-08,-5.575415e-08,5.296302e-08
jitterDDP_de_qregc2,5.317509826086957e-07,1.5874280566136527e-05,-2.641922e-05,3.10535e-05
jitterDDP_de_qregc3,-2.4356649565217412e-05,0.0016690263628124143,-0.003451419,0.002428958
jitterDDP_de_qregerrA,9.630873,2.3743062406678828,4.285103,16.09104
jitterDDP_de_qregerrQ,0.4678808782608696,0.1844796588388195,0.1392303,0.9494085
jitterDDP_de_centroid,0.5146810304347826,0.06811859389350736,0.3950026,0.7172777
jitterDDP_de_variance,0.0009362544739130435,0.00036903963331164064,0.0002794679,0.001899587
jitterDDP_de_stddev,0.03002920652173913,0.006005787553099101,0.01671729,0.04358425
jitterDDP_de_skewness,-0.05106197869565215,0.2935041547842333,-0.622648,0.3905009
jitterDDP_de_kurtosis,8.06984504347826,3.615231543111834,4.118938,18.31638
jitterDDP_de_quartile1,-0.01048216596956522,0.004982361199335652,-0.02539911,-0.0007503293
jitterDDP_de_quartile2,9.760678304347827e-05,0.0002571594953593161,-0.0004021419,0.0006505654
jitterDDP_de_quartile3,0.010675466391304346,0.004494730410714931,0.001366358,0.02328585
jitterDDP_de_upleveltime25,0.967913043478261,0.027669992022008674,0.906,0.998
jitterDDP_de_downleveltime25,0.03208695652173914,0.027669992022008674,0.002,0.094
jitterDDP_de_upleveltime50,0.4927826086956522,0.2763895400799615,0.144,0.87
jitterDDP_de_downleveltime50,0.5072173913043478,0.27638954007996147,0.13,0.856
jitterDDP_de_upleveltime75,0.02156521739130435,0.01929631638647534,0.006,0.076
jitterDDP_de_downleveltime75,0.9784347826086959,0.01929631638647533,0.924,0.994
jitterDDP_de_upleveltime90,0.0047826086956521754,0.00394227116980613,0.002,0.02
jitterDDP_de_downleveltime90,0.9952173913043475,0.0039422711698061325,0.98,0.998
jitterDDP_de_risetime,0.49847521304347825,0.042581016233467495,0.3266533,0.5470942
jitterDDP_de_falltime,0.476518247826087,0.048046652657399457,0.2665331,0.511022
jitterDDP_de_leftctime,0.49458704347826093,0.04461609246148368,0.2971888,0.5321285
jitterDDP_de_rightctime,0.4870787391304348,0.04262184793494721,0.2991968,0.5220883
jitterDDP_de_duration,500.0,0.0,500.0,500.0
shimmerLocal_de_max,0.2500914347826087,0.029527470207936085,0.17221,0.2959283
shimmerLocal_de_min,-0.2570660956521739,0.023552190025528767,-0.2914437,-0.1972384
shimmerLocal_de_range,0.5071575347826087,0.04667309396859675,0.3694484,0.5716259
shimmerLocal_de_maxPos,270.2608695652174,140.57324761370504,10.0,459.0
shimmerLocal_de_minPos,260.5217391304348,147.3545105473739,13.0,454.0
shimmerLocal_de_maxameandist,0.2501873304347826,0.029461657411478128,0.172047,0.2960289
shimmerLocal_de_minameandist,0.25697020000000004,0.02347077663581207,0.1974014,0.2916992
shimmerLocal_de_linregc1,1.1143409130434787e-07,5.380096301062252e-06,-7.550352e-06,9.896127e-06
shimmerLocal_de_linregc2,-0.0001237005695652174,0.0014792615358180724,-0.003834245,0.001929009
shimmerLocal_de_linregerrA,0.04558740130434784,0.006851610441818707,0.02188766,0.05621906
shimmerLocal_de_linregerrQ,0.004606898565217392,0.0010311008918495285,0.001530571,0.006503418
shimmerLocal_de_qregc1,-1.3666765173913045e-08,6.913525894386513e-08,-1.519538e-07,1.334233e-07
shimmerLocal_de_qregc2,6.931150817391304e-06,3.5110004463642246e-05,-5.836063e-05,8.572109e-05
shimmerLocal_de_qregc3,-0.0006897371282608696,0.0037173685695052246,-0.01012772,0.004446209
shimmerLocal_de_qregerrA,22.797442173913044,3.42745431880036,10.93766,28.1561
