,mean,std,min,max
jitterLocal_de_maxameandist,0.10477013333333333,0.06002459803522861,0.0,0.1909084
jitterLocal_de_minameandist,0.11836934814814815,0.06711667142648728,0.0,0.1881247
jitterLocal_de_linregc1,5.675654881481482e-07,3.090950700701272e-06,-4.480557e-06,8.546779e-06
jitterLocal_de_linregc2,-7.266639185185187e-05,0.0008152439988041419,-0.00217582,0.001074366
jitterLocal_de_linregerrA,0.018522172,0.011162183544477252,0.0,0.03532685
jitterLocal_de_linregerrQ,0.0009953040037037038,0.000629111879116948,0.0,0.002353192
jitterLocal_de_qregc1,3.8571948111111105e-09,3.4708267779403406e-08,-5.202936e-08,7.294656e-08
jitterLocal_de_qregc2,-1.35717432962963e-06,1.7351958857973697e-05,-3.294972e-05,3.084327e-05
jitterLocal_de_qregc3,8.708706629629631e-05,0.0017848763576147537,-0.003740936,0.003224696
jitterLocal_de_qregerrA,9.26683462962963,5.579768357969333,0.0,17.67719
jitterLocal_de_qregerrQ,0.49744800370370373,0.314425304825153,0.0,1.176301
jitterLocal_de_centroid,0.4127729555555555,0.23957933958956915,0.0,0.8638675
jitterLocal_de_variance,0.000995502314814815,0.0006291708579562488,0.0,0.002353282
jitterLocal_de_stddev,0.027543898148148147,0.015682635122019766,0.0,0.04851063
jitterLocal_de_skewness,-0.21202240333333333,0.3354702946881847,-1.497171,0.1998944
jitterLocal_de_kurtosis,4.922945851851852,4.514398402797966,0.0,23.88198
jitterLocal_de_quartile1,-0.01106730585185185,0.00762277423769618,-0.02586531,0.0
jitterLocal_de_quartile2,0.00018977129555555557,0.0004119324011236564,-0.0003880501,0.001295463
jitterLocal_de_quartile3,0.011744442333333334,0.008021199221325952,0.0,0.02470847
jitterLocal_de_upleveltime25,0.7549629629629628,0.41159478593182863,0.0,0.99
jitterLocal_de_downleveltime25,0.24503703703703705,0.4115947859318286,0.01,1.0
jitterLocal_de_upleveltime50,0.5125925925925926,0.3277685932365252,0.0,0.964
jitterLocal_de_downleveltime50,0.48740740740740746,0.3277685932365252,0.036,1.0
jitterLocal_de_upleveltime75,0.036444444444444446,0.030505148787771916,0.0,0.104
jitterLocal_de_downleveltime75,0.9635555555555556,0.03050514878777191,0.896,1.0
jitterLocal_de_upleveltime90,0.00562962962962963,0.0057388564134741105,0.0,0.02
jitterLocal_de_downleveltime90,0.9943703703703705,0.005738856413474116,0.98,1.0
jitterLocal_de_risetime,0.36153789259259267,0.21181481547813794,0.0,0.5230461
jitterLocal_de_falltime,0.3413493740740741,0.1993064037542265,0.0,0.4769539
