pitch,loudness,jitter,shimmer,speechrate,timbre,energy,alignment
18890.713819708668,33.57266954955799,25.144595547655673,20.994634024390223,166.98316077083328,3431.026241765921,219.17541190058333,36.42485915868056
13987.960002920805,46.37253817998205,25.121938769810654,25.380146219887248,166.9832720986111,3474.5656554166917,202.83839878263333,41.178219823263895
17036.640079442892,35.53576688111109,30.02582529155071,19.804798316878585,166.9832999347222,3397.8076209832207,224.2101449229958,42.480163708333336
36448.70664682117,34.49008032967235,31.86468652005512,26.134605738909606,166.98313293194443,3635.6871361573903,281.7393373681583,47.625962182638894
35086.19498499347,41.195979674224944,29.627862526969423,22.834812057372385,166.98254843194445,3852.0623023726766,290.12013827715003,35.351614791319456
16030.936899185715,42.14071857480353,30.442849469772245,33.99781768853161,166.9801269222222,3707.7542575692487,259.8793555230042,41.69844656284723
25195.142615748617,30.461571182536417,29.10466080229122,28.383012330734136,166.97815074583332,3302.218155431444,233.60591393083337,41.64258422569444
35503.60790972557,37.90426876783303,27.905756202072443,27.502483010547028,166.97684257777777,3220.1198295467784,262.3082407620833,37.49645108125
27985.662548717446,38.43554221855659,28.44630492144176,23.65278733561838,166.97940325416664,3317.0133268761983,259.2946942265834,45.382279115624996
34151.59738274701,43.18548146565643,25.040388575199202,26.7927887708884,166.98229792916666,3591.406904387512,276.991975909125,40.95546770243057
21762.028793617425,33.972957416170296,30.83703818670346,24.93468516718714,166.98396793888887,3448.786316569646,244.4551606764917,34.11210118194444
10247.991731840675,30.120389941926618,19.950325555956123,28.55343628938952,166.98630594861112,3679.2345175220507,199.61000828247504,30.76529729965278
19654.185254766846,41.74126481286271,36.625368770575406,28.08743944015939,166.98321643194444,3538.4196783780744,245.61524226815,51.5947749326389
30370.457261961827,41.16137471686532,30.244425324910296,31.222562371298416,166.98048875555554,3795.3213297716425,268.4203558236666,48.017807338194444
45297.4739214758,30.343835219021514,22.481818545756198,24.158176828309553,166.97970942083333,3795.7161010195273,317.5749792305416,37.777986945833334
35644.12173943653,22.05768209051347,25.114020643832735,29.261924443034367,166.9810175902778,3741.869388217829,285.8835604082083,39.16698042048611
24797.638250311054,32.96081312186527,26.4293762986071,28.50608956491509,166.98107325416666,3703.433795044191,281.3437327173959,32.54200133819445
17083.46053417796,31.542159162609767,26.262144537602524,27.018409197495956,166.9777889166666,3649.778963327173,217.09857257873333,39.64236111076389
19016.208211824698,28.37336251411114,36.61292805771108,29.61770312631553,166.97759407777775,3571.8972432846235,257.2247251080083,41.43066711215278
19628.735292470454,36.69598175759066,27.585970076619144,24.53675087962548,166.9804609236111,3391.6325472854646,281.0098606548459,40.070127732986116
13603.02655874392,31.416379085883868,23.574313873003035,17.94132586132552,166.98677911805552,3320.28648168005,229.50908978852496,35.005131636111116
16790.13811221276,27.509533322571944,32.01405217785728,33.857623030593665,166.98416277222222,3455.743414834784,234.7373345739375,38.68865043472223
12590.415323886818,37.05875938970932,24.628516369053465,27.064657573497716,166.98021042222223,3314.4051408614337,195.80226021714168,37.22616856319444
