pitch,loudness,jitter,shimmer,speechrate,timbre,energy,alignment
55342.775205806975,26.111943397670565,30.495262554410374,27.985960886133928,166.95148630833333,1981.1643779385613,567.8378813152083,48.075865963194445
12278.639759086582,32.63727834340072,25.67582214235036,26.962187190497072,166.9851091097222,2462.611667943438,163.71956522455415,36.00159666458333
3993.358703078593,21.606319984750296,33.48395566336275,27.76376696233087,166.98048875555554,2149.8199607931906,126.99257735637917,40.4556420107639
12794.462337877756,26.688986360544522,31.611242450249662,23.568238305101602,166.98165776388885,2318.3332961821757,144.05665054770418,46.35160084722222
21599.0473497169,25.924547494781823,30.521605541254768,29.766167608268056,166.9814907611111,2470.7657989997156,179.70069439734996,40.51813504027778
11698.78050011702,23.84339166047622,22.76209691875173,30.18079631896352,166.98327210138885,2523.5501568434497,146.39405987515002,38.83792112881944
13984.512418333594,28.7309600320867,35.367371988405154,24.052580424718183,166.98382876666668,2573.7375637456457,195.29721681172916,42.08082329444445
18258.233293746725,27.729700236199427,27.661892661423487,25.07235414840667,166.98399577083333,2460.3386220971547,213.75770955609585,43.424636043750006
33039.4115330424,27.231388395987352,33.15527991498285,26.813335961323272,166.98232576388887,2574.5872423427354,301.11795873909574,41.33407240104167
23617.64355904247,30.292437838480645,26.386750409750555,28.266633159295594,166.9799599222222,2401.8340008059404,184.97084547117495,42.056231871527785
12200.975427242272,22.998292171763715,17.147031674634565,27.309695445821422,166.98279893472218,2462.4085578656413,156.06048192302498,33.53572623750001
9220.91510812154,26.110881940276784,28.10328829243893,20.185556929426394,166.98040525555555,2332.772254337409,149.83153795821246,32.691557897222225
12906.626893061184,27.263266635156572,33.45472910655784,23.049984238857505,166.98129592916666,2556.6391432087958,156.1041028659083,45.07035084791667
31013.590118243774,30.048588194046665,36.44725602186033,30.65932825936148,166.97809508055556,2615.45017754276,209.68334726875,52.66698042118057
30155.113780377585,25.98645948655488,28.285757320160158,32.53167507713465,166.97815074444443,2600.778651355607,206.7679067173333,42.62199492291668
33046.035867438535,21.515738894958748,21.090765280854455,24.009799915495588,166.97776108333335,2607.893205748107,224.97201839695836,29.18068802951389
17757.070840317025,36.98025304375037,32.326414717988364,23.024285838583737,166.97160988888888,2294.048341812032,177.39667537770836,43.756010152083334
28835.767642371287,32.11735517229583,25.88993382025205,24.50690393175612,166.97859608194443,2376.807965259209,268.24854026525,43.163529117013894
18595.287871803135,21.289859205722163,34.9961969559478,26.84426142373198,166.98001558888885,2435.95129812996,250.05970598683328,43.09098895590279
13277.633501167275,33.51819579998796,24.242961264438655,26.398086955702865,166.98240926111112,2638.023989157245,197.13417985901253,33.098295961458334
18010.733928931408,22.651382067363603,33.94977356011231,28.897760001605093,166.9778167458333,2415.92288538783,198.4104301421083,40.81261852951389
12090.890971386296,16.757579234625414,36.21650461477795,23.45756413424683,166.97366956388888,1694.191419972953,246.7473552409583,32.006351795659725
732.1318673123998,17.301156974506466,29.133544351039486,22.711958894894302,166.9636495231111,703.8212663618319,43.52337657788333,24.976775155729168
