feature,t_stat,p_value
loudness,-15.657443997703895,8.420317069626047e-37
timbre,-6.2695506760361654,1.4548690471392635e-09
pitch,-6.1996904374608235,2.640645190878598e-09
alignment,-3.486621093886995,0.0005804938526380791
speechrate,-3.1901848380378217,0.0016664552394271717
shimmer,-2.5972877923514894,0.010083829577923198
energy,2.0681587746549037,0.03964311793613431
jitter,0.6247710896575595,0.5328512566907903
