feature,t_stat,p_value
loudness,-23.300132069344684,1.2614630328506777e-76
speechrate,-8.933716805566515,7.576853059352784e-18
timbre,-7.244894384671215,1.6673274703152942e-12
alignment,-5.100646096900634,4.857857521100747e-07
energy,4.9765244136689155,9.120594177608933e-07
shimmer,-4.76255695868759,2.6752829073193936e-06
pitch,-3.0154292075519025,0.002726279962717309
jitter,1.2348279286746346,0.2176421217109261
